"ASVs","domain","phyla","class","order","family","genus","specie"
"54436228d0f177862841443540c32d91","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Siphonophorae","Siphonophorae","uncultured_eukaryote"
"3fe543cb201f4dd02ab16a6916c97804","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Thalassiosira",""
"a63ec79ff18734036fd607951df3f78f","Eukaryota","Arthropoda","Maxillopoda","Calanoida","Calanoida","Calanoida",""
"5c47c73176b38a3783a0c5b6e1f00997","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Chaetoceros","Chaetoceros_sp."
"1176c37294050ac8484324633b395b3f","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Gymnodinium","uncultured_eukaryote"
"40f0c3cda6d5c5b7bb819bca14b929fa","Eukaryota","Retaria","Acantharia","Chaunocanthida","Chaunocanthida","Chaunocanthida",""
"8f586ba42658c6af11354f6a47dc4e92","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Mediophyceae","uncultured_marine"
"aa37715648e5009d69fb01cb9c4aa1ec","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_marine"
"0a2a8b316870a14e07dbec68f1c68a8b","Eukaryota","Arthropoda","Maxillopoda","Calanoida","Calanoida","Calanoida",""
"eb904cbc064fc757e2ae116ca8461070","Eukaryota","Dinoflagellata","","","","",""
"969e7bdb8d81e205721cf56f1c189f9a","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","phytoplankton_environmental"
"e9648c2f0f7ae6629950ec3b50a3010b","Eukaryota","Tunicata","Appendicularia","Copelata","Oikopleuridae","Oikopleuridae","Oikopleura_labradoriensis"
"d40c6f6f8f263314b16f88d8c0cfff0a","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","","",""
"185ea7cfcd643c6b6255b114031e9d22","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","",""
"f3a9fd98978badad8a750929e89d4a03","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"392c3d1d883ee2bfda1ede1a306c251a","Eukaryota","Retaria","RAD_A","RAD_A","RAD_A","RAD_A","uncultured_eukaryote"
"2c509295e05d70ca9f5efe08295296c8","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"a10ddf7dd77e95fd02a323d1d4efe06c","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"06e44c388907f4dcff4999ac008175b8","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Chaetoceros",""
"b35877ebf892918a831c122ddc0116ba","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II","uncultured_Syndiniales"
"81205e66e9ce9b6dac66d9d5ebf2d0a8","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"b53bf3a5e7f6d33d9dc545a207b60a95","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"ecbd14aa8a2eea1a9772b70e24b70c1f","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B","uncultured_Rhizaria"
"2421b2ccd2f9f9f4e8e5486975c528f2","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B",""
"689e377993bb1b6607054dd55c0b604b","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"e5aa36c7e4ce2e9f259ea37f3a80d956","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_III","Syndiniales_Group_III","uncultured_eukaryote"
"48d663b2d7fbf5dc48d6b1f8ed82013b","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","",""
"054168fbb45f2ff54a8861645ac767ad","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","",""
"b2d565c5b7cb5dcac474fa3d3c54accb","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_marine"
"2693ce33a718961037c17499e9562c2f","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"97a46d00f888362157926268aa9955fe","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"8271711b828aa4b98580884817f98d2e","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","uncultured","uncultured_eukaryote"
"8511063accf0f29771e80d9d4bd3ceca","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","Cryptomonadales",""
"d382b5894290b55da59ae042ed61e8ef","Eukaryota","Arthropoda","Maxillopoda","Calanoida","Calanoida","Calanoida",""
"fef1bc9e5fb2d5208e7637b51ca58e9d","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","","",""
"caf7f8141383af75404d4ab868612029","Eukaryota","Arthropoda","Maxillopoda","Cyclopoida","Cyclopoida","Cyclopoida",""
"be307d3937a235eaf7de941bc92ee29d","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Micromonas",""
"d916456eae61d00ed871269ea9560e9a","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"45d8c9ce0db8b3042e05442073a9f9ef","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"38fcacc7f8833ac58acd8b81cc113c6f","Eukaryota","Picozoa","Picozoa","Picozoa","Picozoa","Picozoa","uncultured_biliphyte"
"0d0f485674ae21dcfba63a1c059f04bf","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"f3f0e6bc6e6bca7d46c02c4e611c8bbe","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_Duboscquella"
"f9d978a22c32734a225b0e9271be34bc","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"4190494ffa882c4deaf88b812940eb78","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","",""
"3079ef33e1460a27fe610bbcebef6cf6","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Siphonophorae","Siphonophorae","uncultured_eukaryote"
"9528c824bc8f2c4fc6e75883920dc352","Eukaryota","Picozoa","Picomonadida","Picomonadida","Picomonadida","Picomonadida",""
"284d1178225cb1d83f75111e405dbdde","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"ab504a551bccf7ac3a1f9e903e4c6059","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_eukaryote"
"7f4393f60337f0353a520dc0f7c8d0e2","Eukaryota","Retaria","Polycystinea","Nassellaria","Nassellaria","Nassellaria","uncultured_eukaryote"
"64c2130c78eda7338c8535653bc34b52","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"12e82c92a1252436f2fa48fdcce7f9c8","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"50941b4859c31409d29ea03e0f52fa6b","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","Karlodinium_veneficum"
"c46727dd06f7391648daac91d46bf2dd","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"8ead5e1c36bff2dfea86d6ac16582d03","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"9b0f3eecc8fd756ea70facb31adbcb26","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Biecheleria","uncultured_alveolate"
"b53da43cb17f689c6553a83b578bb604","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Chaetoceros",""
"241ea86db5f96bd775b7c59758f9e766","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_III","Syndiniales_Group_III","uncultured_marine"
"5232f29e65c310a7f2874e2869be3903","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"04ca3d9e33bfc4220f82a464a9acdc74","Eukaryota","Retaria","Acantharia","uncultured","uncultured","uncultured","uncultured_eukaryote"
"fc754e71b603f966130c45aa88b0dc7a","Eukaryota","Ctenophora","Tentaculata","Cydippida","Cydippida","Cydippida","Undescribed_mertensiid"
"ac88addb1177c0e15d061da5fabee0a6","Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales","Gonyaulax",""
"d594925fbc782c74e249be3a3b438fc0","Eukaryota","Ochrophyta","Chrysophyceae","Ochromonadales","Ochromonadales","Paraphysomonas","Paraphysomonas_imperforata"
"8e1ec12b697353f55cba0883b6a1435d","Eukaryota","Ascomycota","Leotiomycetes","","","",""
"69ab5657c1cac75e9efaa1119ae23f77","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"441be8f07387d7a69d1abefb8ae74f16","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales","Prymnesiales","OLI16029",""
"f25ad6024ab69e80f8c61d764e3db20a","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"757cc79e2f580e0702394ad9cff421c6","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_III","Syndiniales_Group_III",""
"5d6f349d2d611996a9d918dfb8b03b81","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"4aaaa48eb580e2eb8407460667fa3ef7","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II","uncultured_eukaryote"
"2393a2139644b54c9f4b4e50791dc4f1","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"77a4a3967f0d5aee360e083378d41dc4","Eukaryota","Tunicata","Appendicularia","Copelata","Oikopleuridae","Oikopleuridae","Oikopleura_labradoriensis"
"7fc31eb3fa94191af21556e2f90e2538","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"bf7586b6aea3a791bd3a48f1be565f22","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"d6926c00406a0b43f1113b510dfaa9a4","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Chaetoceros","Chaetoceros_dichaeta"
"d4666efe11c5c77b3db05a8a298e738a","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","phytoplankton_environmental"
"373cd8326435c0a4655b5675693209f4","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium","uncultured_marine"
"dfa2fd71e4ad73bf453f0e6a24c9a66b","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II","marine_metagenome"
"31cdebc5d1e880e52d4fae1fcecc776c","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"648d658e617edae27c83a29fc40fc3db","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Incertae_Sedis","Sarocladium",""
"114941d3a0f8e5f410d57d3a10cdb9aa","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"4495f19d8ec1001821ce361c8aa22e3a","Eukaryota","Tunicata","Appendicularia","Copelata","Oikopleuridae","Oikopleuridae","Oikopleura_sp."
"8fdb3711c6a97134fd26eeca1d754a85","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"0625ac15bc9d44e76eea90c2808c62ad","Eukaryota","Dinoflagellata","Dinophyceae","uncultured","uncultured","uncultured","uncultured_dinoflagellate"
"51db8fc18fc62df72c7bbfb8bed42589","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales","Prymnesiales","Prymnesiales","uncultured_eukaryote"
"fd8857c0ad31d657999954169cdce173","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Thalassiosira",""
"52b71125bce6721c5c24cb72f461e27d","Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Navicula",""
"e5477e86f9cd05e3f3c4c38e4cf6ce6d","Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales","",""
"810bc26037614c768acbbd22e1b3335d","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"a0aab7661fb2de75b10714f4d230687c","Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Fragilariopsis",""
"683bd1a7d6113c70a4b518e74dc1f6ee","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"d4305cac43a09253463a6070512ae75f","Eukaryota","MAST-1","MAST-1B","MAST-1B","MAST-1B","MAST-1B","uncultured_eukaryote"
"1ec98dc88e6485f4d9e7467ff99cfa1d","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"986982c7f2c9caa4a7a386c9fce5ddff","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"34ee8ff2bfec134b5124614b0829efb6","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"36448233c7de02e4c5b847216d7eb5c4","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"8ef59802be3614577c9879a4a13be59b","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"1a5bbc6d1fa1dcb577d68ed83f317e44","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_Duboscquella"
"659622eee29cf4c5f499fcbf9eb312b6","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"9d16c7b930b1a9594e7e288a38da6cc9","Eukaryota","","","","","",""
"0643ae9d5d88341c899a94857277d6f5","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales","uncultured","uncultured_marine"
"e68b97b819f8841c3ef570dd23882bc8","Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales","Neoceratium","Tripos_tenuis"
"2128c304d53d21db937581b0e88d770e","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"8562c92536d29f9c30d695c5cc97e492","Eukaryota","Dinoflagellata","","","","",""
"f7a565228225c593cfabbea897d754f2","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","",""
"ca27986bc2340fda5ab11d626c35bafb","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"c89e19dc68f199d250c0d6356bd23b23","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"da0ed1fb0074f545b5ecb9a4f3693c39","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","",""
"f701c6181ae0872b4e8d0cd5bb72f83b","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","",""
"e8ad759c28cbe8edd5b4968bf36ac063","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"01047b33bbcaa45d31329d0bf48a9311","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"a0e2f368340f581925c1843362736400","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"6b9940b9b276a35ca0a0226438790f8c","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales","Prymnesiales","Chrysochromulina","uncultured_eukaryote"
"c78313fe3f40a2de54a36d80759a5c0e","Eukaryota","Holozoa","Choanoflagellida","Acanthoecida","Stephanoecidae","Bicosta",""
"5b8e117c35a1361fe53b05a4c8761253","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"5bc5031c8aca283a11ecc681f622f0b5","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"ab5005cdfb18245bce1dcc44a64a9f96","Eukaryota","Prymnesiophyceae","uncultured","uncultured","uncultured","uncultured","uncultured_marine"
"a108aad3afe1c8b89940d2a8ad8e42e8","Eukaryota","Mollusca","Gastropoda","Heterobranchia","Heterobranchia","Heterobranchia",""
"ecec6f14457812ddeeb9667855fff85b","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B",""
"b06f6996f7a979c9fcdd79f6537b3d11","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","Uncultured_marine"
"e2347d0b93c6cb4004ec0ef6fed03a79","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B","uncultured_marine"
"1030d1c518d296a8b0537606cdd22cd0","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"81b34373051145cf2bb0b7314219b9a0","Eukaryota","Picozoa","Picomonadida","Picomonadida","Picomonadida","Picomonadida",""
"6ad38285a706f3767852122d2105dc7d","Eukaryota","","","","","",""
"0fcacc1c697b5bd6497b3834e3e9fe1a","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"1179b24ac317b90cc28f77c879531742","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Strombidium","uncultured_eukaryote"
"260dc1536fca896b06d31743cd5b938d","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales","Amoebophrya","uncultured_Syndiniales"
"dca2759bf8453d506a387cdbb98b064a","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","Cryptomonadales",""
"e3dd1867d9c85a0da5554faff72a2b94","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","",""
"86c9fafefb7a95ffe8e78f29bdbabfa2","Eukaryota","Dinoflagellata","","","","",""
"807b2416a7d4a9a87dcce15062af5ee4","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B","uncultured_Polycystinea"
"3e3fb0bd5fb90ed8a26e81ed1ea40807","Eukaryota","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Aureococcus","Aureococcus_anophagefferens"
"6168d50e8941e8b008361681c5b64e1d","Eukaryota","MAST-1","MAST-1A","MAST-1A","MAST-1A","MAST-1A",""
"7e045fd13e7b96d1a448160efbe8c522","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales","Prymnesiales","",""
"28040fec0b6e4e26b2dd7f49fce8fc82","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"65c1b907a4c128cc6995c511fc25e95c","Eukaryota","","","","","",""
"a5ad67c1d4423e6f1fa2c5563d49537f","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"4ee601419756069f1dcc62a12a91cadc","Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Navicula",""
"72f2a2fa70b47dc97ac7d59bee628d80","Eukaryota","Picozoa","Picomonadida","Picomonadida","Picomonadida","Picomonadida","uncultured_eukaryote"
"5dbbfed691a2f46b71e5eaf2739ba81f","Eukaryota","Cercozoa","Chlorarachniophyta","Chlorarachniophyta","Chlorarachniophyta","NOR26","uncultured_marine"
"91311d03cd3f21b967e20440c27f7d7c","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"b6d56f2e83db1865471d9cbca7c87399","Eukaryota","Arthropoda","Maxillopoda","Calanoida","Calanoida","Calanoida",""
"746a744fdbc7f3b75cdb02117c6a2ba3","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_eukaryote"
"ee0a5a470935810c2570c47731af8d50","Eukaryota","Chlorophyta","Prasinophytae","Prasinophytae","Prasinophytae","Prasinophytae",""
"bce3975421b8f5128aa8f16a75b5eb1d","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"fbe47a077b4c187b61eee1e1af28807b","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"26fefb7045f1952701627059a2ed7f29","Eukaryota","Cercozoa","Novel_Clade_2","Novel_Clade_2","Novel_Clade_2","Novel_Clade_2","uncultured_eukaryote"
"faddd3b308deacded14f92856663448a","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"ce1f8c110f257f4fec380fdcd9acdeb2","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"7619598e62b89d86139d2032ecdc506f","Eukaryota","Holozoa","Choanoflagellida","Acanthoecida","Stephanoecidae","Calliacantha","Calliacantha_natans"
"4f96614bfcccb4895ad4131a4e58a3f8","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","Teleaulax","Teleaulax_amphioxeia"
"c342142dd9bc7f4754bacc0b8d10b777","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"2c5a0f00de2886044545f83507ac575c","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"387ee07f237d2bf8bfdff037d2d36539","Eukaryota","Protalveolata","Syndiniales","Syndiniales","","",""
"d891aa3375a038592e47b2f805c8ef78","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Pseudotontonia","uncultured_eukaryote"
"248949d4fd55ce784612f864a451a9a7","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"9ae93d81f06cd2503806777589b23688","Eukaryota","Retaria","Polycystinea","Spumellaria","Spumellaria","uncultured","uncultured_eukaryote"
"0c8269a3a463c601afd5ab2c54045983","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_Syndiniales"
"5328da1f0597ec8c9732ed3130656c24","Eukaryota","Cercozoa","uncultured","uncultured","uncultured","uncultured","uncultured_marine"
"d0db3b308857569d411181494814c9af","Eukaryota","Picozoa","","","","",""
"b62e61dfb902b69a066a32b4b74794f2","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","uncultured_marine"
"8bcc6d51da48d620ad917571a8f204ba","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiophyceae","Prymnesiophyceae","Phaeocystis","Haptophyta_environmental"
"b7fa229cf1fd67c435872ed514e60511","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II","uncultured_Syndiniales"
"70633401f08d397dd852fac02bde73cc","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Siphonophorae","Siphonophorae","uncultured_eukaryote"
"3e50dc358ddd6884aa4029da057fe1b9","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales","Amoebophrya","eukaryote_clone"
"0689d3fd1f6311ba526dd292981c907f","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","",""
"35e2f97ea5a5e97abb1d30d0c9aeff64","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiales","Prymnesiales","OLI16029",""
"e60771ca6934c39e053a9f4fca541f96","Eukaryota","Dinoflagellata","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis","Haplozoon","uncultured_eukaryote"
"38de0f5d2679cb94f2242315eb01f6f9","Eukaryota","Diatomea","Mediophyceae","Mediophyceae","Mediophyceae","Chaetoceros","Chaetoceros_brevis"
"84ad17a32330c40ac5fe5609a901c0e1","Eukaryota","Tunicata","Appendicularia","Copelata","Oikopleuridae","Oikopleuridae","Oikopleura_labradoriensis"
"dc81d44770a61abba15c33ae58121b67","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Siphonophorae","Siphonophorae","uncultured_eukaryote"
"14a99c07c4d2d5327c4a2b7de5ad4512","Eukaryota","Cercozoa","Imbricatea","Imbricatea","Thaumatomonadida","D2P04A09","uncultured_Rhizaria"
"c1826c8b6e802490e1c470e94429b37c","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II","uncultured_eukaryote"
"9563b000d67a04521470182da1fe25c0","Eukaryota","Retaria","RAD_B","RAD_B","RAD_B","RAD_B","uncultured_Rhizaria"
"f656c1040394808559e5f3ee7b157c90","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"de7256b870455730ea1aabde99ad08ad","Eukaryota","Arthropoda","Maxillopoda","Cyclopoida","Cyclopoida","Cyclopoida","uncultured_eukaryote"
"9fde33753d31adfb7123a0635a5ef41a","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","","",""
"9e5997d0aecc1655bec0b7ae3f850e5f","Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",""
"4b21fec4eacd7a376cb669c56a3f0653","Eukaryota","Kathablepharidae","Kathablepharidae","Kathablepharidae","Kathablepharidae","Leucocryptos","uncultured_eukaryote"
"a9085d21e850a404ec5e8ed63edcb571","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I","Uncultured_marine"
